Year,Month,Day,SiteName,SiteCode,PlotNumber,Species_Code,Count,Cover
2009,July,,Grazing,1,GT1Q1,ArH,1,10
2009,July,,Grazing,1,GT1Q1,ArS,16,10
2009,July,,Grazing,1,GT1Q1,ChAcc,57,10
2009,July,,Grazing,1,GT1Q1,CS,4,5
2009,July,,Grazing,1,GT1Q2,Alsen,8,15
2009,July,,Grazing,1,GT1Q2,ArSc,4,5
2009,July,,Grazing,1,GT1Q2,Bassia,15,2
2009,July,,Grazing,1,GT1Q2,CS,1,20
2009,July,,Grazing,1,GT1Q2,ChAcc,12,2
2009,July,,Grazing,1,GT1Q2,Salsola,3,1
2009,July,,Grazing,1,GT1Q3,CS,3,15
2009,July,,Grazing,1,GT1Q3,ArSc,4,20
2009,July,,Grazing,1,GT1Q3,Bassia,28,5
2009,July,,Grazing,1,GT1Q3,ChAcc,60,5
2009,July,,Grazing,1,GT1Q3,Salsola,8,8
2009,July,,Grazing,1,GT1Q4,ArSc,5,40
2009,July,,Grazing,1,GT1Q4,CS,2,3
2009,July,,Grazing,1,GT1Q4,QG2,2,2
2009,July,,Grazing,1,GT1Q4,ChAcc,30,5
2009,July,,Grazing,1,GT1Q4,Bassia,35,8
2009,July,,Grazing,1,GT1Q4,Salsola,1,0.5
2009,July,,Grazing,1,GT1Q5,ArSc,1,5
2009,July,,Grazing,1,GT1Q5,CS,2,5
2009,July,,Grazing,1,GT1Q5,LS,1,1
2009,July,,Grazing,1,GT1Q5,ChAcc,160,10
2009,July,,Grazing,1,GT1Q5,Bassia,10,3
2009,July,,Grazing,1,GT1Q5,Salsola,19,3
2009,July,,Grazing,2,GT2Q1,Thistle,6,10
2009,July,,Grazing,2,GT2Q1,QP,1,10
2009,July,,Grazing,2,GT2Q1,Salsola,52,15
2009,July,,Grazing,2,GT2Q1,ChAcc,170,20
2009,July,,Grazing,2,GT2Q1,Bassia,65,10
2009,July,,Grazing,2,GT2Q1,Erod,1,1
2009,July,,Grazing,2,GT2Q2,ChAcc,110,18
2009,July,,Grazing,2,GT2Q2,Thistle,1,5
2009,July,,Grazing,2,GT2Q2,CS,3,2
2009,July,,Grazing,2,GT2Q2,Bassia,33,5
2009,July,,Grazing,2,GT2Q2,Salsola,11,5
2009,July,,Grazing,2,GT2Q2,setaria,7,5
2009,July,,Grazing,2,GT2Q3,ChAcc,67,18
2009,July,,Grazing,2,GT2Q3,CS,16,8
2009,July,,Grazing,2,GT2Q3,setaria,8,5
2009,July,,Grazing,2,GT2Q3,Salsola,36,8
2009,July,,Grazing,2,GT2Q3,UNK,4,2
2009,July,,Grazing,2,GT2Q3,Bassia,34,8
2009,July,,Grazing,2,GT2Q4,Salsola,102,35
2009,July,,Grazing,2,GT2Q4,ChAcc,11,3
2009,July,,Grazing,2,GT2Q4,Bassia,34,5
2009,July,,Grazing,2,GT2Q4,QG1,2,5
2009,July,,Grazing,2,GT2Q5,CS,2,10
2009,July,,Grazing,2,GT2Q5,ChAcc,185,15
2009,July,,Grazing,2,GT2Q5,setaria,10,3
2009,July,,Grazing,2,GT2Q5,Bassia,60,8
2009,July,,Grazing,2,GT2Q5,Salsola,9,3
2009,July,,Grazing,3,GT3Q1,PQ,2,10
2009,July,,Grazing,3,GT3Q1,Alsen,2,10
2009,July,,Grazing,3,GT3Q1,Thistle,1,3
2009,July,,Grazing,3,GT3Q1,ArSc,5,5
2009,July,,Grazing,3,GT3Q1,Bassia,77,10
2009,July,,Grazing,3,GT3Q1,ChAcc,44,5
2009,July,,Grazing,3,GT3Q1,Salsola,12,3
2009,July,,Grazing,3,GT3Q1,TT,3,2
2009,July,,Grazing,3,GT3Q1,UNK,1,1
2009,July,,Grazing,3,GT3Q2,ArSc,6,15
2009,July,,Grazing,3,GT3Q2,ChAcc,53,5
2009,July,,Grazing,3,GT3Q2,Bassia,81,5
2009,July,,Grazing,3,GT3Q2,CS,3,8
2009,July,,Grazing,3,GT3Q2,Salsola,2,1
2009,July,,Grazing,3,GT3Q3,ArSc,5,35
2009,July,,Grazing,3,GT3Q3,LD,1,15
2009,July,,Grazing,3,GT3Q3,ChAcc,49,5
2009,July,,Grazing,3,GT3Q3,Bassia,19,3
2009,July,,Grazing,3,GT3Q4,PQ,1,10
2009,July,,Grazing,3,GT3Q4,CS,1,5
2009,July,,Grazing,3,GT3Q4,Alsen,1,5
2009,July,,Grazing,3,GT3Q4,setaria,12,8
2009,July,,Grazing,3,GT3Q4,Bassia,45,5
2009,July,,Grazing,3,GT3Q4,ChAcc,9,3
2009,July,,Grazing,3,GT3Q4,Salsola,20,5
2009,July,,Grazing,3,GT3Q4,TT,2,2
2009,July,,Grazing,3,GT3Q5,ArSc,10,5
2009,July,,Grazing,3,GT3Q5,Thistle,1,1
2009,July,,Grazing,3,GT3Q5,ChAcc,120,12
2009,July,,Grazing,3,GT3Q5,Bassia,55,5
2009,July,,Grazing,3,GT3Q5,Salsola,34,8
2009,July,,Grazing,3,GT3Q5,CS,6,8
2009,July,,Grazing,4,GT4Q1,ArSc,2,40
2009,July,,Grazing,4,GT4Q1,PQ,1,12
2009,July,,Grazing,4,GT4Q1,Salsola,46,10
2009,July,,Grazing,4,GT4Q1,setaria,11,8
2009,July,,Grazing,4,GT4Q1,ChAcc,67,5
2009,July,,Grazing,4,GT4Q1,Bassia,52,5
2009,July,,Grazing,4,GT4Q1,CS,2,3
2009,July,,Grazing,4,GT4Q2,ArSc,1,5
2009,July,,Grazing,4,GT4Q2,PQ,1,3
2009,July,,Grazing,4,GT4Q2,Salsola,68,10
2009,July,,Grazing,4,GT4Q2,ChAcc,71,6
2009,July,,Grazing,4,GT4Q2,Bassia,79,6
2009,July,,Grazing,4,GT4Q2,CS,1,3
2009,July,,Grazing,4,GT4Q3,ArSc,1,5
2009,July,,Grazing,4,GT4Q3,UNK Shrub,1,70
2009,July,,Grazing,4,GT4Q3,PQ,2,15
2009,July,,Grazing,4,GT4Q3,Alsen,7,18
2009,July,,Grazing,4,GT4Q3,CS,2,4
2009,July,,Grazing,4,GT4Q3,ChAcc,38,4
2009,July,,Grazing,4,GT4Q3,Bassia,11,2
2009,July,,Grazing,4,GT4Q3,Salsola,46,10
2009,July,,Grazing,4,GT4Q4,LD,1,5
2009,July,,Grazing,4,GT4Q4,ChAcc,200,10
