Trt,Rep,TN,TOC
Grazing,1,0.39,7.11 
Grazing,2,0.33,6.10 
Grazing,3,0.231,3.40 
Grazing,4,0.39,6.02 
Grazing,5,0.55,10.39 
Grazing,6,0.33,5.70 
Grazing,7,0.32,5.34 
Grazing,8,0.23,3.24 
Grazing,9,0.4,6.76 
Grazing,10,0.29,4.65 
Heavy,1,0.34,5.18 
Heavy,2,0.27,4.09 
Heavy,3,0.73,16.41 
Heavy,4,0.35,5.89 
Heavy,5,0.31,4.76 
Heavy,6,0.37,6.35 
Heavy,7,0.49,8.28 
Heavy,8,0.5,9.11 
Heavy,9,0.22,2.81 
Heavy,10,0.33,5.43 
Naiman,1,0.14,1.71 
Naiman,2,0.32,5.58 
Naiman,3,0.29,4.38 
Naiman,4,0.17,2.51 
Naiman,5,0.26,4.28 
Naiman,6,0.31,4.99 
Naiman,7,0.19,2.75 
Naiman,8,0.15,1.04 
Naiman,9,0.21,3.07 
Naiman,10,0.14,1.87 
DXG,1,0.36,6.07 
DXG,2,0.49,7.89 
DXG,3,0.48,7.88 
DXG,4,0.49,8.70 
DXG,5,0.53,9.34 
DXG,6,0.45,8.32 
DXG,7,0.52,8.96 
DXG,8,0.44,7.09 
DXG,9,0.37,6.22 
DXG,10,0.58,10.45 
